epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,696.413,0.98799,1.2353,1.18379,0.81287,0.9006,0.90146,0.65081,0.91878,1.23349,1.21752,0.000312497,0.000312497,0.000312497
43,713.087,0.97212,1.20659,1.16862,0.78881,0.87764,0.8789,0.63837,0.92344,1.21292,1.21391,0.000307289,0.000307289,0.000307289
44,731.616,0.958,1.17027,1.20151,0.79451,0.84148,0.86815,0.63994,0.93009,1.20792,1.22054,0.000302082,0.000302082,0.000302082
45,749.724,1.01089,1.28875,1.21095,0.77314,0.92176,0.89107,0.64701,0.92592,1.19757,1.20999,0.000296874,0.000296874,0.000296874
46,767.308,0.96035,1.25826,1.18518,0.7653,0.92757,0.90031,0.64256,0.93717,1.19556,1.20856,0.000291667,0.000291667,0.000291667
47,783.445,0.97651,1.1701,1.14193,0.78616,0.89343,0.9044,0.65365,0.95039,1.19959,1.21643,0.00028646,0.00028646,0.00028646
48,800.208,0.97157,1.17134,1.16548,0.77747,0.92274,0.89754,0.64894,0.94344,1.16366,1.22226,0.000281252,0.000281252,0.000281252
49,817.171,0.91226,1.12488,1.13411,0.77454,0.91809,0.89683,0.65448,0.93971,1.1583,1.22618,0.000276045,0.000276045,0.000276045
50,833.511,0.92104,1.09934,1.15463,0.766,0.92834,0.89933,0.66133,0.91353,1.15605,1.21622,0.000270837,0.000270837,0.000270837
51,849.916,0.95899,1.15433,1.17413,0.74536,0.94841,0.90208,0.66425,0.90128,1.17187,1.20533,0.00026563,0.00026563,0.00026563
52,869.669,0.95118,1.13863,1.1717,0.86213,0.8556,0.90505,0.6631,0.8997,1.17766,1.20554,0.000260423,0.000260423,0.000260423
53,889.582,0.90219,1.11284,1.15783,0.81549,0.88587,0.90724,0.67023,0.88469,1.17123,1.20967,0.000255215,0.000255215,0.000255215
54,909.497,0.89813,1.09475,1.13533,0.82995,0.87283,0.8994,0.66313,0.87813,1.17157,1.21386,0.000250008,0.000250008,0.000250008
55,929.769,0.9081,1.11449,1.15637,0.8052,0.90955,0.90844,0.67035,0.88678,1.13655,1.21751,0.0002448,0.0002448,0.0002448
56,948.305,0.8839,1.04332,1.13704,0.79929,0.86361,0.89114,0.66362,0.88507,1.13872,1.21276,0.000239593,0.000239593,0.000239593
57,965.279,0.85889,1.02364,1.10287,0.81884,0.84267,0.88931,0.66793,0.87275,1.14623,1.20427,0.000234386,0.000234386,0.000234386
58,983.374,0.9106,1.14686,1.14252,0.79896,0.83412,0.87998,0.67055,0.86119,1.15562,1.18792,0.000229178,0.000229178,0.000229178
59,1001.27,0.90536,1.08878,1.10294,0.8014,0.86386,0.88705,0.66465,0.8518,1.16779,1.18373,0.000223971,0.000223971,0.000223971
60,1018.1,0.89583,1.11242,1.13506,0.78073,0.88408,0.89101,0.66595,0.83713,1.16405,1.17875,0.000218763,0.000218763,0.000218763
61,1034.65,0.89343,1.13642,1.1427,0.81284,0.87291,0.8939,0.65757,0.852,1.15725,1.18008,0.000213556,0.000213556,0.000213556
62,1051.07,0.87561,1.04286,1.09324,0.79089,0.87874,0.89078,0.65911,0.86306,1.15179,1.18212,0.000208349,0.000208349,0.000208349
63,1067.6,0.8667,1.05575,1.13483,0.78091,0.89953,0.89039,0.66063,0.84849,1.16101,1.17206,0.000203141,0.000203141,0.000203141
64,1083.63,0.86556,1.08466,1.1077,0.7915,0.85759,0.87815,0.65664,0.82798,1.13249,1.17051,0.000197934,0.000197934,0.000197934
65,1099.62,0.85249,1.028,1.11928,0.80988,0.88018,0.89033,0.65826,0.83375,1.11858,1.17932,0.000192726,0.000192726,0.000192726
66,1116.11,0.85045,1.02372,1.10652,0.78117,0.92104,0.89087,0.66912,0.84067,1.09337,1.18433,0.000187519,0.000187519,0.000187519
67,1133.03,0.81084,0.98676,1.11212,0.79576,0.92657,0.90566,0.66362,0.86324,1.09401,1.19211,0.000182312,0.000182312,0.000182312
68,1149.72,0.84498,1.03458,1.09608,0.81473,0.90214,0.90863,0.66422,0.85606,1.09705,1.18271,0.000177104,0.000177104,0.000177104
69,1166.2,0.83155,1.01255,1.08872,0.79496,0.8871,0.89209,0.66189,0.85846,1.09215,1.18205,0.000171897,0.000171897,0.000171897
