epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1789,1.37887,3.56639,1.74104,0.15891,0.45329,0.14997,0.07895,1.17177,3.11743,1.54825,9.79044e-05,9.79044e-05,9.79044e-05
2,133.763,1.21914,2.73015,1.58573,0.24322,0.41883,0.24501,0.13594,0.95333,2.36442,1.36425,0.000191056,0.000191056,0.000191056
3,199.429,1.14979,2.40182,1.50993,0.27347,0.51028,0.2914,0.17562,1.00821,2.1839,1.38926,0.000279356,0.000279356,0.000279356
4,266.6,1.12883,2.25048,1.48835,0.31833,0.50854,0.35148,0.21342,0.86396,1.83799,1.28529,0.000272171,0.000272171,0.000272171
5,336.743,1.0906,2.10071,1.45178,0.31774,0.5472,0.39742,0.23875,0.85374,1.92238,1.27967,0.000264894,0.000264894,0.000264894
6,409.556,1.06692,2.0057,1.43596,0.327,0.54702,0.45803,0.26469,0.76285,1.59059,1.20116,0.000257617,0.000257617,0.000257617
7,480.156,1.05873,1.94472,1.42555,0.42272,0.59394,0.49598,0.29638,0.86961,1.57364,1.27145,0.000250341,0.000250341,0.000250341
8,551.782,1.04433,1.88088,1.41279,0.35639,0.66464,0.48661,0.30257,0.78633,1.50577,1.21327,0.000243064,0.000243064,0.000243064
9,621.877,1.0253,1.83854,1.40392,0.47442,0.63721,0.5821,0.33696,0.85967,1.41965,1.25579,0.000235788,0.000235788,0.000235788
10,694.275,1.01717,1.80576,1.39897,0.46255,0.65858,0.55921,0.35662,0.75009,1.3529,1.183,0.000228511,0.000228511,0.000228511
11,764.189,1.00957,1.77078,1.39032,0.5085,0.61591,0.57219,0.36673,0.81006,1.28999,1.21447,0.000221235,0.000221235,0.000221235
12,833.924,0.99064,1.74518,1.37907,0.5007,0.70796,0.6322,0.41144,0.76778,1.25403,1.1917,0.000213958,0.000213958,0.000213958
13,902.947,0.99192,1.71314,1.38126,0.493,0.74577,0.63565,0.40027,0.74722,1.32883,1.17903,0.000206682,0.000206682,0.000206682
14,972.188,0.98492,1.6942,1.36788,0.46809,0.73289,0.6156,0.40665,0.74359,1.23918,1.17709,0.000199406,0.000199406,0.000199406
15,1040.71,0.96935,1.66989,1.36582,0.54371,0.71194,0.67209,0.42937,0.7832,1.31759,1.19937,0.000192129,0.000192129,0.000192129
16,1109.41,0.96373,1.66354,1.35926,0.54277,0.68843,0.65051,0.42369,0.74962,1.21979,1.1748,0.000184853,0.000184853,0.000184853
17,1177.57,0.96323,1.64072,1.35939,0.50891,0.67058,0.65875,0.42886,0.76247,1.18161,1.18753,0.000177576,0.000177576,0.000177576
18,1247.32,0.95299,1.62406,1.34896,0.56364,0.72934,0.71145,0.46991,0.69276,1.17993,1.14057,0.000170299,0.000170299,0.000170299
19,1316.68,0.9472,1.60153,1.35015,0.5408,0.74269,0.69338,0.46387,0.68852,1.15302,1.13342,0.000163023,0.000163023,0.000163023
20,1387.42,0.93979,1.58631,1.33874,0.54128,0.73739,0.693,0.46775,0.72278,1.14359,1.15404,0.000155747,0.000155747,0.000155747
21,1456.49,0.94479,1.57764,1.34344,0.54657,0.64396,0.65558,0.45334,0.73033,1.1193,1.14355,0.00014847,0.00014847,0.00014847
22,1523.56,0.9318,1.55307,1.333,0.56134,0.73286,0.7101,0.48065,0.69573,1.13515,1.12489,0.000141193,0.000141193,0.000141193
23,1590.77,0.92181,1.54049,1.32676,0.54781,0.76755,0.71371,0.48202,0.71848,1.10982,1.14096,0.000133917,0.000133917,0.000133917
24,1658.12,0.92581,1.53584,1.33254,0.60159,0.77082,0.76666,0.51868,0.66388,1.07311,1.10534,0.000126641,0.000126641,0.000126641
25,1725.22,0.91419,1.51584,1.323,0.59554,0.74111,0.74209,0.50272,0.6529,1.06596,1.09725,0.000119364,0.000119364,0.000119364
26,1792.6,0.91082,1.50354,1.31717,0.60699,0.72525,0.7394,0.5201,0.68199,1.04095,1.11256,0.000112087,0.000112087,0.000112087
27,1859.89,0.90798,1.50175,1.31748,0.60225,0.74426,0.74014,0.51686,0.63556,1.0325,1.09006,0.000104811,0.000104811,0.000104811
28,1926.9,0.90823,1.49479,1.31514,0.65901,0.72394,0.75699,0.53218,0.6399,1.05543,1.08776,9.75345e-05,9.75345e-05,9.75345e-05
29,1994.27,0.89896,1.47576,1.31121,0.64796,0.74001,0.76312,0.52046,0.65498,1.04582,1.09347,9.0258e-05,9.0258e-05,9.0258e-05
30,2061.28,0.89366,1.47406,1.31116,0.68066,0.71918,0.76819,0.5375,0.61645,1.00989,1.07709,8.29815e-05,8.29815e-05,8.29815e-05
31,2128.55,0.74951,1.1039,1.292,0.63787,0.74367,0.74404,0.52702,0.64187,1.02532,1.08379,7.5705e-05,7.5705e-05,7.5705e-05
32,2195.32,0.73273,1.08327,1.2864,0.66018,0.74856,0.7728,0.55042,0.66258,0.99119,1.09559,6.84285e-05,6.84285e-05,6.84285e-05
33,2261.87,0.72381,1.05461,1.26983,0.63468,0.77221,0.76525,0.53764,0.62894,0.99044,1.08082,6.1152e-05,6.1152e-05,6.1152e-05
34,2328.48,0.7192,1.03576,1.26418,0.6389,0.77225,0.77566,0.55452,0.60372,0.97655,1.06594,5.38755e-05,5.38755e-05,5.38755e-05
35,2394.82,0.71106,1.01512,1.26451,0.64678,0.77034,0.77958,0.54779,0.63077,0.9704,1.0786,4.6599e-05,4.6599e-05,4.6599e-05
36,2461.14,0.69796,1.01176,1.25618,0.67582,0.76073,0.79217,0.5571,0.62473,0.97464,1.07696,3.93225e-05,3.93225e-05,3.93225e-05
37,2527.51,0.6964,0.99087,1.25032,0.70078,0.74186,0.7955,0.5671,0.61151,0.96532,1.06546,3.2046e-05,3.2046e-05,3.2046e-05
38,2594.07,0.68737,0.98403,1.24966,0.68245,0.74046,0.79324,0.56296,0.60985,0.9604,1.06451,2.47695e-05,2.47695e-05,2.47695e-05
39,2660.54,0.68743,0.96748,1.24072,0.67596,0.73402,0.79193,0.56448,0.59729,0.95435,1.06013,1.7493e-05,1.7493e-05,1.7493e-05
40,2726.71,0.68515,0.9577,1.24115,0.72596,0.73762,0.79899,0.56638,0.60702,0.95284,1.06352,1.02165e-05,1.02165e-05,1.02165e-05
